number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;garbage chute;type of house;district;street;concierge
1;33.0;10;10;2590000.0;евро;раздельный;лоджия;1987;1;1;панельный;р-н Мотовилихинский;улица Гашкова, 26;0
1;31.0;5;4;2250000.0;косметический;совмещенный;балкон;1973;0;0;кирпичный;р-н Свердловский;улица Косьвинская, 9;0
2;47.0;9;9;2530000.0;косметический;раздельный;лоджия;1984;1;1;панельный;р-н Орджоникидзевский;улица Маршала Толбухина, 6;0
3;79.0;16;8;6800000.0;косметический;раздельный;лоджия;2008;1;0;панельный;р-н Свердловский;улица Камчатовская, 18;1
3;82.0;5;2;4000000.0;косметический;раздельный;лоджия;1997;1;0;кирпичный;р-н Ленинский;Комсомольский проспект, 38А;0
2;43.0;5;5;2600000.0;косметический;совмещенный;нет;1962;0;0;кирпичный;р-н Индустриальный;улица Комбайнёров, 26;0
2;59.0;18;16;6900000.0;дизайнерский;совмещенный;балкон;2013;2;0;монолитный;р-н Свердловский;улица Белинского, 31;1
3;68.0;10;8;6950000.0;дизайнерский;раздельный;лоджия;2010;0;1;кирпичный;р-н Мотовилихинский;улица Пономарёва, 75;1
1;14.0;9;9;1350000.0;косметический;совмещенный;нет;1983;1;1;панельный;р-н Свердловский;улица Вижайская, 24;0
1;44.0;16;13;4050000.0;евро;совмещенный;лоджия;2008;1;0;монолитный;р-н Мотовилихинский;улица Красновишерская, 35;1
3;61.0;9;9;4200000.0;косметический;раздельный;лоджия;1977;1;1;панельный;р-н Свердловский;улица Николая Островского, 70;0
2;44.0;5;3;2700000.0;косметический;совмещенный;нет;1965;0;0;кирпичный;р-н Индустриальный;улица Мира, 118;0
4;83.0;16;11;6700000.0;дизайнерский;совмещенный;лоджия;2006;1;1;панельный;р-н Мотовилихинский;улица Пушкарская, 100;1
3;73.0;16;10;5600000.0;евро;раздельный;лоджия;1993;1;1;панельный;р-н Индустриальный;улица Мира, 33;1
3;55.0;5;3;3100000.0;требует ремонта;совмещенный;балкон;1959;0;0;кирпичный;р-н Индустриальный;улица Баумана, 8;0
2;61.0;11;4;5100000.0;косметический;раздельный;лоджия;2003;1;0;кирпичный;р-н Мотовилихинский;улица Уинская, 9;1
2;55.0;14;5;3900000.0;косметический;раздельный;лоджия;1981;2;1;кирпичный;р-н Дзержинский;улица Плеханова, 63А;1
1;47.0;17;10;2950000.0;евро;совмещенный;лоджия;2008;1;1;монолитный;р-н Орджоникидзевский;улица Янаульская, 34;1
1;31.0;9;6;3000000.0;косметический;совмещенный;балкон;2021;1;0;монолитный;р-н Мотовилихинский;улица Сапфирная, 12;1
2;37.0;5;5;2200000.0;косметический;совмещенный;балкон;1969;0;0;кирпичный;р-н Кировский;улица Маршала Рыбалко, 78;0
3;105.0;13;3;8500000.0;косметический;совмещенный;лоджия;1999;1;0;кирпичный;р-н Ленинский;улица Екатерининская, 24;1
3;58.0;9;9;4000000.0;требует ремонта;совмещенный;балкон;1977;1;1;панельный;р-н Дзержинский;улица Комиссара Пожарского, 12;0
