number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;type of house;parking;district;full address;concierge;garbage chute
1;37.6;19;7;3500000.0;косметический;совмещенный;лоджия;2019;1.0;монолитный;открытая во дворе;Свердловский;Пермский край, Пермь, Холмогорская ул., 4Г;0;0
3;76.2;10;6;3850000.0;евро;несколько;лоджия;2016;1.0;панельный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, Молдавская ул., 10А;0;0
1;50.9;17;13;4300000.0;евро;совмещенный;балкон;2010;1.0;кирпичный;подземная, за шлагбаумом во дворе;Индустриальный;Пермский край, Пермь, ул. Танкистов, 9;1;0
3;60.7;5;4;3600000.0;евро;совмещенный;балкон;1974;0.0;панельный;открытая во дворе;Свердловский;Пермский край, Пермь, ул. Солдатова, 6;0;0
2;56.1;25;18;4500000.0;косметический;совмещенный;лоджия;2018;1.0;монолитный;за шлагбаумом во дворе;Свердловский;Пермский край, Пермь, ул. Красные Казармы, 68;0;0
1;35.2;14;8;2800000.0;косметический;совмещенный;лоджия;1981;1.0;кирпичный;открытая во дворе;Свердловский;Пермский край, Пермь, ул. Моторостроителей, 21;0;1
3;53.6;9;9;3800000.0;косметический;раздельный;балкон;1971;1.0;кирпичный;;Дзержинский;Пермский край, Пермь, ш. Космонавтов, 72;0;1
2;48.0;9;4;3400000.0;требует ремонта;раздельный;лоджия;1990;1.0;кирпичный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Карпинского, 107;0;1
1;37.9;5;2;3300000.0;косметический;раздельный;балкон;2015;0.0;кирпичный;;Индустриальный;Пермский край, Пермь, ул. Советской Армии, 52;0;0
3;52.6;9;2;3400000.0;косметический;раздельный;лоджия;1978;1.0;панельный;открытая во дворе;Свердловский;Пермский край, Пермь, ул. Лодыгина, 56;0;1
1;35.0;25;5;3700000.0;евро;совмещенный;лоджия;2021;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе;Индустриальный;Пермский край, Пермь, ул. Карпинского, 14;1;0
3;70.0;16;3;6700000.0;дизайнерский;раздельный;балкон;1996;1.0;кирпичный;за шлагбаумом во дворе;Дзержинский;Пермский край, Пермь, Петропавловская ул., 119;1;1
1;38.4;7;4;2999000.0;евро;раздельный;лоджия;2007;1.0;панельный;открытая во дворе;Дзержинский;Пермский край, Пермь, Транспортная ул., 11;1;1
2;49.1;10;10;4700000.0;евро;совмещенный;лоджия;1991;1.0;кирпичный;за шлагбаумом во дворе;Ленинский;Пермский край, Пермь, ул. Луначарского, 51;0;1
3;60.3;5;2;3990000.0;евро;совмещенный;балкон;1968;0.0;панельный;открытая во дворе;Дзержинский;Пермский край, Пермь, Грузинская ул., 5;0;0
1;34.2;5;5;1580000.0;косметический;совмещенный;лоджия;2016;0.0;кирпичный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, Ольховская ул., 4;0;0
1;51.4;4;1;1728042.0;косметический;совмещенный;нет;1950;0.0;панельный;;Свердловский;Пермский край, Пермь, ул. Куйбышева, 153;0;0
2;53.4;10;8;4990000.0;евро;раздельный;лоджия;1992;1.0;кирпичный;за шлагбаумом во дворе;Дзержинский;Пермский край, Пермь, Парковый пр-т, 33;0;1
2;42.0;2;1;1790000.0;косметический;совмещенный;нет;1960;0.0;кирпичный;открытая во дворе;Кировский;Пермский край, Пермь, Чебоксарская ул., 12;0;0
1;44.5;25;4;3980000.0;косметический;совмещенный;лоджия;2019;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе;Свердловский;Пермский край, Пермь, ул. Героев Хасана, 11Б;1;0
1;30.9;5;1;1250000.0;требует ремонта;совмещенный;нет;1961;0.0;панельный;;Кировский;Пермский край, Пермь, ул. Победы, 33;0;0
3;52.0;5;4;3750000.0;косметический;раздельный;балкон;1974;0.0;кирпичный;открытая во дворе;Дзержинский;Пермский край, Пермь, ул. Крисанова, 13;0;0
1;32.9;5;3;1670000.0;косметический;совмещенный;балкон;1985;0.0;кирпичный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, ул. Александра Пархоменко, 12;0;0
3;77.8;20;19;6450000.0;косметический;раздельный;лоджия;2019;1.0;монолитный;подземная, наземная многоуровневая, открытая во дворе;Свердловский;Пермский край, Пермь, ул. Василия Татищева, 6;0;0
3;68.4;10;2;5600000.0;косметический;совмещенный;лоджия;1989;1.0;панельный;за шлагбаумом во дворе, открытая во дворе;Свердловский;Пермский край, Пермь, ул. Максима Горького, 65;0;0
2;65.0;16;16;5950000.0;евро;раздельный;балкон;2008;1.0;кирпичный;за шлагбаумом во дворе;Дзержинский;Пермский край, Пермь, ул. Голева, 13А;0;1
1;30.3;5;5;1950000.0;косметический;совмещенный;нет;1966;0.0;кирпичный;открытая во дворе;Кировский;Пермский край, Пермь, Закамская ул., 37;0;0
3;89.1;25;3;6990000.0;евро;раздельный;лоджия;2010;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе;Индустриальный;Пермский край, Пермь, ш. Космонавтов, 215;1;0
1;34.0;7;4;2550000.0;косметический;совмещенный;лоджия;2014;1.0;кирпичный;за шлагбаумом во дворе;Мотовилихинский;Пермский край, Пермь, Красногвардейская ул., 2;0;0
2;55.8;25;8;4600000.0;косметический;совмещенный;лоджия;2019;2.0;монолитный;наземная многоуровневая;Свердловский;Пермский край, Пермь, ул. Василия Татищева, 8;0;0
3;60.5;9;6;4600000.0;косметический;раздельный;лоджия;1971;1.0;панельный;открытая во дворе;Ленинский;Пермский край, Пермь, Петропавловская ул., 79;0;1
2;56.3;19;8;4980000.0;косметический;раздельный;балкон;2013;0.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе;Свердловский;Пермский край, Пермь, ул. Чернышевского, 15Г;0;0
1;31.1;2;1;1500000.0;косметический;совмещенный;нет;1957;0.0;кирпичный;;Свердловский;Пермский край, Пермь, Кузбасская ул., 41;0;0
1;35.0;25;5;3700000.0;евро;совмещенный;лоджия;2021;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе;Индустриальный;Пермский край, Пермь, ул. Карпинского, 14;1;0
4;80.7;16;4;5500000.0;требует ремонта;раздельный;балкон;1989;1.0;панельный;за шлагбаумом во дворе, открытая во дворе;Свердловский;Пермский край, Пермь, ул. Куйбышева, 99;1;0
1;31.0;5;1;2390000.0;косметический;совмещенный;нет;1963;0.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Баумана, 21А;0;0
2;47.0;9;7;3200000.0;требует ремонта;совмещенный;лоджия;1985;1.0;кирпичный;открытая во дворе;Свердловский;Пермский край, Пермь, ул. Гусарова, 7;0;1
2;49.2;9;9;2900000.0;косметический;раздельный;лоджия;1979;1.0;кирпичный;открытая во дворе;Дзержинский;Пермский край, Пермь, Ветлужская ул., 58;0;1
1;17.0;5;5;1320000.0;дизайнерский;совмещенный;нет;1969;0.0;кирпичный;открытая во дворе;Индустриальный;Пермский край, Пермь, Стахановская ул., 49А;0;0
3;58.4;5;4;3500000.0;требует ремонта;раздельный;балкон;1973;0.0;кирпичный;;Свердловский;Пермский край, Пермь, ул. Чернышевского, 25;0;0
1;35.0;6;4;2800000.0;косметический;совмещенный;балкон;2016;1.0;кирпичный;за шлагбаумом во дворе;Мотовилихинский;Пермский край, Пермь, Лядовская ул., 127А;0;0
2;46.2;5;1;3499000.0;евро;раздельный;балкон;1971;0.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, Чердынская ул., 8;0;0
1;38.4;7;4;2999000.0;евро;раздельный;лоджия;2007;1.0;панельный;открытая во дворе;Дзержинский;Пермский край, Пермь, Транспортная ул., 11;1;1
2;45.0;5;5;2200000.0;евро;совмещенный;балкон;1978;0.0;панельный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, Уссурийская ул., 19;0;0
3;56.0;3;1;2350000.0;евро;совмещенный;балкон;1961;0.0;кирпичный;открытая во дворе;Кировский;Пермский край, Пермь, ул. Фадеева, 10;0;0
