;address;district;number of floors;apartment floor;number of rooms;area of apartment;bathroom;repair;view from the windows;terrace;garbage chute;type of house;parking;concierge;elevator;link;price
1024;ул. Краснофлотская, д. 30Б;р-н Свердловский;19;15.0;3;103.8;несколько;косметический;на улицу;лоджия;False;монолитный;подземная, за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_1038m_1519et._1895998363;9700000.0
1025; Холмогорская ул., 4Г;р-н Свердловский;17;13.0;1;38.0;совмещенный;косметический;во двор;лоджия;True;кирпичный;за шлагбаумом во дворе, открытая во дворе;True;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_38m_1317et._2229643622;3500000.0
1026; ул. Маяковского, 45;р-н Дзержинский;10;7.0;2;66.6;раздельный;косметический;на улицу, во двор;лоджия;False;монолитный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_666m_710et._2182099192;4950000.0
1027; ул. Маяковского, 45;р-н Дзержинский;10;7.0;2;66.6;раздельный;косметический;на улицу, во двор;лоджия;False;монолитный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_666m_710et._2182099192;4950000.0
1028; ул. Маяковского, 45;р-н Дзержинский;10;7.0;2;66.6;раздельный;косметический;на улицу, во двор;лоджия;False;монолитный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_666m_710et._2182099192;4950000.0
1029;ул. Краснофлотская, д. 30Б;р-н Свердловский;19;3.0;2;72.5;несколько;косметический;во двор;лоджия;False;монолитный;подземная, за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_725m_319et._1440067046;6200000.0
1030; ул. Павла Соловьёва, 9;р-н Свердловский;4;4.0;2;59.0;раздельный;требует ремонта;во двор;балкон;False;кирпичный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_59m_44et._2233027827;4700000.0
1031; Красновишерская ул., 35;р-н Мотовилихинский;16;13.0;1;44.9;совмещенный;евро;во двор;лоджия;False;монолитный;подземная, наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе;True;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_449m_1316et._2137085136;4050000.0
1032; ул. 25 Октября, 40А;р-н Свердловский;5;5.0;3;50.4;совмещенный;евро;на улицу, во двор;балкон;False;кирпичный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_504m_55et._2236818061;4100000.0
1033; Самаркандская ул., 143;р-н Свердловский;19;4.0;3;75.0;раздельный;косметический;на улицу, во двор;лоджия;False;монолитный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_75m_419et._2213538276;5300000.0
